nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;60.577000;6.057700;3.758400;2.269600;2.269600;37.584000;22.696000;0.297000;4.000000
15000;1000000;10;94.255000;9.425500;5.785100;3.597700;3.597700;57.851000;35.977000;0.427000;4.176091
20000;1000000;10;109.079000;10.907900;6.507600;4.355300;4.355300;65.076000;43.553000;0.450000;4.301030
25000;1000000;10;146.281000;14.628100;9.040200;5.530100;5.530100;90.402000;55.301000;0.578000;4.397940
30000;1000000;10;199.360000;19.936000;11.883000;7.977700;7.977700;118.830000;79.777000;0.753000;4.477121
35000;1000000;10;238.021000;23.802100;14.122600;9.597300;9.597300;141.226000;95.973000;0.822000;4.544068
40000;1000000;10;271.352000;27.135200;16.184400;10.858100;10.858100;161.844000;108.581000;0.927000;4.602060
45000;1000000;10;314.827000;31.482700;18.807200;12.567900;12.567900;188.072000;125.679000;1.076000;4.653213
50000;1000000;10;362.596000;36.259600;21.972700;14.166700;14.166700;219.727000;141.667000;1.202000;4.698970
55000;1000000;10;399.570000;39.957000;23.697500;16.134300;16.134300;236.975000;161.343000;1.252000;4.740363
60000;1000000;10;515.843000;51.584300;29.854300;21.574200;21.574200;298.543000;215.742000;1.558000;4.778152
65000;1000000;10;539.078000;53.907800;30.821100;22.927700;22.927700;308.211000;229.277000;1.590000;4.812913
70000;1000000;10;657.414000;65.741400;37.351200;28.215900;28.215900;373.512000;282.159000;1.743000;4.845098
75000;1000000;10;686.058000;68.605800;39.052600;29.374300;29.374300;390.526000;293.743000;1.789000;4.875061
80000;1000000;10;763.914000;76.391400;43.657300;32.541900;32.541900;436.573000;325.419000;1.922000;4.903090
85000;1000000;10;837.558000;83.755800;47.739900;35.797700;35.797700;477.399000;357.977000;2.182000;4.929419
90000;1000000;10;818.139000;81.813900;46.644400;34.960700;34.960700;466.444000;349.607000;2.088000;4.954243
95000;1000000;10;921.350000;92.135000;51.550100;40.339500;40.339500;515.501000;403.395000;2.454000;4.977724
100000;1000000;10;867.028000;86.702800;50.237800;36.232500;36.232500;502.378000;362.325000;2.325000;5.000000
105000;1000000;10;940.426000;94.042600;53.021100;40.771600;40.771600;530.211000;407.716000;2.499000;5.021189
110000;1000000;10;966.751000;96.675100;54.639200;41.788900;41.788900;546.392000;417.889000;2.470000;5.041393
115000;1000000;10;1053.434000;105.343400;60.171900;44.902500;44.902500;601.719000;449.025000;2.690000;5.060698
120000;1000000;10;1128.082000;112.808200;65.029600;47.491300;47.491300;650.296000;474.913000;2.873000;5.079181
125000;1000000;10;1190.798000;119.079800;67.977100;50.816700;50.816700;679.771000;508.167000;2.860000;5.096910
130000;1000000;10;1252.476000;125.247600;70.277700;54.664900;54.664900;702.777000;546.649000;3.050000;5.113944
135000;1000000;10;1304.935000;130.493500;73.158500;57.020800;57.020800;731.585000;570.208000;3.142000;5.130334
140000;1000000;10;1409.762000;140.976200;77.872000;62.789000;62.789000;778.720000;627.890000;3.152000;5.146128
145000;1000000;10;1492.308000;149.230800;86.078800;62.828300;62.828300;860.788000;628.283000;3.237000;5.161368
150000;1000000;10;1491.855000;149.185500;83.020200;65.838200;65.838200;830.202000;658.382000;3.271000;5.176091
155000;1000000;10;1613.161000;161.316100;91.552900;69.375800;69.375800;915.529000;693.758000;3.874000;5.190331
