nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;39.854000;3.985400;2.583800;1.374900;1.374900;25.838000;13.749000;0.267000;4.000000
15000;1000000;10;50.725000;5.072500;3.297800;1.736800;1.736800;32.978000;17.368000;0.379000;4.176091
20000;1000000;10;79.913000;7.991300;5.263400;2.663200;2.663200;52.634000;26.632000;0.647000;4.301030
25000;1000000;10;100.824000;10.082400;6.480700;3.533300;3.533300;64.807000;35.333000;0.684000;4.397940
30000;1000000;10;103.557000;10.355700;6.555000;3.726200;3.726200;65.550000;37.262000;0.745000;4.477121
35000;1000000;10;120.624000;12.062400;7.855400;4.130800;4.130800;78.554000;41.308000;0.762000;4.544068
40000;1000000;10;177.221000;17.722100;11.771000;5.846700;5.846700;117.710000;58.467000;1.044000;4.602060
45000;1000000;10;176.816000;17.681600;11.434500;6.141000;6.141000;114.345000;61.410000;1.061000;4.653213
50000;1000000;10;181.345000;18.134500;11.641700;6.377500;6.377500;116.417000;63.775000;1.153000;4.698970
55000;1000000;10;232.837000;23.283700;14.973300;8.160800;8.160800;149.733000;81.608000;1.496000;4.740363
60000;1000000;10;221.879000;22.187900;14.117100;7.931600;7.931600;141.171000;79.316000;1.392000;4.778152
65000;1000000;10;244.281000;24.428100;15.494800;8.789100;8.789100;154.948000;87.891000;1.442000;4.812913
70000;1000000;10;268.795000;26.879500;16.992900;9.719600;9.719600;169.929000;97.196000;1.670000;4.845098
75000;1000000;10;289.117000;28.911700;18.618400;10.132200;10.132200;186.184000;101.322000;1.611000;4.875061
80000;1000000;10;311.573000;31.157300;19.739300;11.226200;11.226200;197.393000;112.262000;1.918000;4.903090
85000;1000000;10;331.042000;33.104200;21.095200;11.826500;11.826500;210.952000;118.265000;1.825000;4.929419
90000;1000000;10;347.790000;34.779000;21.985700;12.580200;12.580200;219.857000;125.802000;2.131000;4.954243
95000;1000000;10;357.184000;35.718400;22.495400;13.008200;13.008200;224.954000;130.082000;2.148000;4.977724
100000;1000000;10;393.691000;39.369100;24.758700;14.385200;14.385200;247.587000;143.852000;2.252000;5.000000
105000;1000000;10;420.004000;42.000400;26.758100;15.004200;15.004200;267.581000;150.042000;2.381000;5.021189
110000;1000000;10;426.854000;42.685400;27.124500;15.313000;15.313000;271.245000;153.130000;2.479000;5.041393
