n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
10000;10000;1;3.873000;3.873000;1.557000;1.555000;0.761000;1.557000;1.555000;0.761000;4.000000
20000;10000;1;8.058000;8.058000;2.827000;2.883000;2.348000;2.827000;2.883000;2.348000;4.301030
30000;10000;1;10.269000;10.269000;3.766000;3.691000;2.812000;3.766000;3.691000;2.812000;4.477121
40000;10000;1;13.145000;13.145000;4.862000;4.468000;3.815000;4.862000;4.468000;3.815000;4.602060
50000;10000;1;15.472000;15.472000;5.160000;5.622000;4.690000;5.160000;5.622000;4.690000;4.698970
60000;10000;1;19.046000;19.046000;6.454000;6.818000;5.774000;6.454000;6.818000;5.774000;4.778152
70000;10000;1;21.087000;21.087000;7.490000;7.529000;6.068000;7.490000;7.529000;6.068000;4.845098
80000;10000;1;25.085000;25.085000;9.158000;8.289000;7.638000;9.158000;8.289000;7.638000;4.903090
90000;10000;1;26.224000;26.224000;8.954000;9.230000;8.040000;8.954000;9.230000;8.040000;4.954243
100000;10000;1;30.372000;30.372000;10.972000;10.663000;8.737000;10.972000;10.663000;8.737000;5.000000
110000;10000;1;33.473000;33.473000;11.953000;11.717000;9.803000;11.953000;11.717000;9.803000;5.041393
120000;10000;1;35.198000;35.198000;12.630000;12.543000;10.025000;12.630000;12.543000;10.025000;5.079181
130000;10000;1;39.759000;39.759000;14.183000;13.635000;11.941000;14.183000;13.635000;11.941000;5.113944
140000;10000;1;42.218000;42.218000;15.270000;14.832000;12.116000;15.270000;14.832000;12.116000;5.146128
150000;10000;1;46.038000;46.038000;16.308000;15.869000;13.861000;16.308000;15.869000;13.861000;5.176091
160000;10000;1;51.117000;51.117000;17.059000;16.854000;17.204000;17.059000;16.854000;17.204000;5.204120
170000;10000;1;50.844000;50.844000;17.960000;17.283000;15.601000;17.960000;17.283000;15.601000;5.230449
180000;10000;1;53.879000;53.879000;19.228000;18.921000;15.730000;19.228000;18.921000;15.730000;5.255272
190000;10000;1;57.424000;57.424000;20.535000;19.424000;17.465000;20.535000;19.424000;17.465000;5.278754
200000;10000;1;58.231000;58.231000;20.823000;20.113000;17.295000;20.823000;20.113000;17.295000;5.301030
210000;10000;1;61.836000;61.836000;21.723000;20.818000;19.295000;21.723000;20.818000;19.295000;5.322219
220000;10000;1;65.963000;65.963000;23.905000;23.251000;18.807000;23.905000;23.251000;18.807000;5.342422
230000;10000;1;68.412000;68.412000;24.461000;23.743000;20.208000;24.461000;23.743000;20.208000;5.361728
240000;10000;1;69.807000;69.807000;25.111000;24.382000;20.314000;25.111000;24.382000;20.314000;5.380211
250000;10000;1;80.530000;80.530000;30.999000;27.240000;22.291000;30.999000;27.240000;22.291000;5.397940
260000;10000;1;78.055000;78.055000;27.907000;27.464000;22.684000;27.907000;27.464000;22.684000;5.414973
270000;10000;1;79.251000;79.251000;27.723000;26.909000;24.619000;27.723000;26.909000;24.619000;5.431364
280000;10000;1;81.584000;81.584000;28.487000;28.881000;24.216000;28.487000;28.881000;24.216000;5.447158
290000;10000;1;86.252000;86.252000;29.481000;29.737000;27.034000;29.481000;29.737000;27.034000;5.462398
300000;10000;1;88.288000;88.288000;31.476000;30.978000;25.834000;31.476000;30.978000;25.834000;5.477121
310000;10000;1;95.992000;95.992000;33.150000;33.150000;29.692000;33.150000;33.150000;29.692000;5.491362
320000;10000;1;95.043000;95.043000;33.817000;33.295000;27.931000;33.817000;33.295000;27.931000;5.505150
330000;10000;1;98.599000;98.599000;34.572000;34.113000;29.914000;34.572000;34.113000;29.914000;5.518514
340000;10000;1;102.091000;102.091000;36.556000;35.455000;30.080000;36.556000;35.455000;30.080000;5.531479
350000;10000;1;107.513000;107.513000;37.727000;38.058000;31.728000;37.727000;38.058000;31.728000;5.544068
360000;10000;1;106.121000;106.121000;37.829000;37.566000;30.726000;37.829000;37.566000;30.726000;5.556303
370000;10000;1;109.498000;109.498000;38.462000;37.982000;33.054000;38.462000;37.982000;33.054000;5.568202
380000;10000;1;114.813000;114.813000;41.208000;40.074000;33.531000;41.208000;40.074000;33.531000;5.579783
390000;10000;1;116.522000;116.522000;40.718000;40.676000;35.128000;40.718000;40.676000;35.128000;5.591064
400000;10000;1;117.546000;117.546000;41.529000;41.460000;34.557000;41.529000;41.460000;34.557000;5.602060
