n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;logn
10000;1000000;10;88.280000;8.828000;3.715500;2.249500;2.863000;37.155000;22.495000;28.630000;4.000000
20000;1000000;10;148.283000;14.828300;5.914100;4.214200;4.700000;59.141000;42.142000;47.000000;4.301030
30000;1000000;10;254.038000;25.403800;11.064300;6.826200;7.513300;110.643000;68.262000;75.133000;4.477121
40000;1000000;10;295.680000;29.568000;12.763200;8.834800;7.970000;127.632000;88.348000;79.700000;4.602060
50000;1000000;10;399.196000;39.919600;16.058700;11.626900;12.234000;160.587000;116.269000;122.340000;4.698970
60000;1000000;10;503.072000;50.307200;20.366500;14.371500;15.569200;203.665000;143.715000;155.692000;4.778152
70000;1000000;10;613.598000;61.359800;25.854000;16.787800;18.718000;258.540000;167.878000;187.180000;4.845098
80000;1000000;10;666.529000;66.652900;27.703200;18.678900;20.270800;277.032000;186.789000;202.708000;4.903090
90000;1000000;10;783.733000;78.373300;31.562100;21.669100;25.142100;315.621000;216.691000;251.421000;4.954243
100000;1000000;10;893.432000;89.343200;35.362500;25.000400;28.980300;353.625000;250.004000;289.803000;5.000000
110000;1000000;10;971.292000;97.129200;38.405900;27.657800;31.065500;384.059000;276.578000;310.655000;5.041393
120000;1000000;10;1153.070000;115.307000;46.725500;32.855400;35.726100;467.255000;328.554000;357.261000;5.079181
130000;1000000;10;1192.190000;119.219000;46.405000;35.806000;37.008000;464.050000;358.060000;370.080000;5.113944
140000;1000000;10;1367.382000;136.738200;52.231700;40.228700;44.277800;522.317000;402.287000;442.778000;5.146128
150000;1000000;10;1381.646000;138.164600;55.319200;41.745500;41.099900;553.192000;417.455000;410.999000;5.176091
160000;1000000;10;1593.162000;159.316200;61.025600;47.106100;51.184500;610.256000;471.061000;511.845000;5.204120
170000;1000000;10;1652.502000;165.250200;67.190700;52.870400;45.189100;671.907000;528.704000;451.891000;5.230449
180000;1000000;10;1882.128000;188.212800;70.583700;56.538600;61.090500;705.837000;565.386000;610.905000;5.255272
190000;1000000;10;1792.774000;179.277400;77.132600;57.695600;44.449200;771.326000;576.956000;444.492000;5.278754
200000;1000000;10;2205.667000;220.566700;82.967400;66.158900;71.440400;829.674000;661.589000;714.404000;5.301030
210000;1000000;10;2334.333000;233.433300;84.844800;71.084000;77.504500;848.448000;710.840000;775.045000;5.322219
220000;1000000;10;2487.607000;248.760700;88.144600;74.618600;85.997500;881.446000;746.186000;859.975000;5.342422
230000;1000000;10;2752.018000;275.201800;100.892400;83.513300;90.796100;1008.924000;835.133000;907.961000;5.361728
240000;1000000;10;2900.003000;290.000300;102.628800;87.824600;99.546900;1026.288000;878.246000;995.469000;5.380211
250000;1000000;10;2717.738000;271.773800;108.270900;88.610900;74.892000;1082.709000;886.109000;748.920000;5.397940
260000;1000000;10;3256.235000;325.623500;117.664200;99.675400;108.283900;1176.642000;996.754000;1082.839000;5.414973
270000;1000000;10;2944.636000;294.463600;124.672400;97.981100;71.810100;1246.724000;979.811000;718.101000;5.431364
280000;1000000;10;3344.835000;334.483500;120.889900;104.144600;109.449000;1208.899000;1041.446000;1094.490000;5.447158
290000;1000000;10;3471.580000;347.158000;127.443000;108.726800;110.988200;1274.430000;1087.268000;1109.882000;5.462398
300000;1000000;10;4094.106000;409.410600;146.206000;127.481800;135.722800;1462.060000;1274.818000;1357.228000;5.477121
310000;1000000;10;3746.463000;374.646300;143.074900;124.231900;107.339500;1430.749000;1242.319000;1073.395000;5.491362
320000;1000000;10;4255.447000;425.544700;148.748900;132.752100;144.043700;1487.489000;1327.521000;1440.437000;5.505150
330000;1000000;10;4083.784000;408.378400;161.494300;135.780000;111.104100;1614.943000;1357.800000;1111.041000;5.518514
340000;1000000;10;4997.232000;499.723200;176.194500;159.854000;163.674700;1761.945000;1598.540000;1636.747000;5.531479
350000;1000000;10;5102.213000;510.221300;182.293900;159.554400;168.373000;1822.939000;1595.544000;1683.730000;5.544068
360000;1000000;10;4660.231000;466.023100;172.993300;150.514000;142.515800;1729.933000;1505.140000;1425.158000;5.556303
