n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
10000;10000;10;26.219000;2.621900;1.084000;1.080400;0.457500;10.840000;10.804000;4.575000;4.000000
20000;10000;10;43.248000;4.324800;1.841800;1.780400;0.702600;18.418000;17.804000;7.026000;4.301030
30000;10000;10;63.876000;6.387600;2.754700;2.610400;1.022500;27.547000;26.104000;10.225000;4.477121
40000;10000;10;85.271000;8.527100;3.601700;3.469200;1.456200;36.017000;34.692000;14.562000;4.602060
50000;10000;10;109.634000;10.963400;4.646200;4.490800;1.826400;46.462000;44.908000;18.264000;4.698970
60000;10000;10;125.241000;12.524100;5.347800;5.170400;2.005900;53.478000;51.704000;20.059000;4.778152
70000;10000;10;147.902000;14.790200;6.300000;6.082900;2.407300;63.000000;60.829000;24.073000;4.845098
80000;10000;10;173.218000;17.321800;7.368700;7.210300;2.742800;73.687000;72.103000;27.428000;4.903090
90000;10000;10;184.534000;18.453400;7.564500;7.435100;3.453800;75.645000;74.351000;34.538000;4.954243
100000;10000;10;199.287000;19.928700;8.498900;8.238200;3.191600;84.989000;82.382000;31.916000;5.000000
110000;10000;10;223.969000;22.396900;9.484400;9.286400;3.626100;94.844000;92.864000;36.261000;5.041393
120000;10000;10;235.846000;23.584600;10.067600;9.702500;3.814500;100.676000;97.025000;38.145000;5.079181
130000;10000;10;261.248000;26.124800;11.133300;10.861700;4.129800;111.333000;108.617000;41.298000;5.113944
140000;10000;10;274.969000;27.496900;11.714900;11.311200;4.470800;117.149000;113.112000;44.708000;5.146128
150000;10000;10;297.150000;29.715000;12.657200;12.316400;4.741400;126.572000;123.164000;47.414000;5.176091
160000;10000;10;310.857000;31.085700;13.189800;12.896300;4.999600;131.898000;128.963000;49.996000;5.204120
170000;10000;10;325.878000;32.587800;13.713500;13.533200;5.341100;137.135000;135.332000;53.411000;5.230449
180000;10000;10;350.584000;35.058400;14.939600;14.504600;5.614200;149.396000;145.046000;56.142000;5.255272
190000;10000;10;386.539000;38.653900;16.463600;15.590100;6.600200;164.636000;155.901000;66.002000;5.278754
200000;10000;10;381.422000;38.142200;16.277900;15.689900;6.174400;162.779000;156.899000;61.744000;5.301030
210000;10000;10;406.961000;40.696100;17.193400;16.835100;6.667600;171.934000;168.351000;66.676000;5.322219
220000;10000;10;439.194000;43.919400;18.820800;18.171700;6.926900;188.208000;181.717000;69.269000;5.342422
230000;10000;10;468.598000;46.859800;19.941500;19.244300;7.674000;199.415000;192.443000;76.740000;5.361728
240000;10000;10;464.329000;46.432900;19.881700;19.110000;7.441200;198.817000;191.100000;74.412000;5.380211
250000;10000;10;500.049000;50.004900;21.238700;20.383000;8.383200;212.387000;203.830000;83.832000;5.397940
260000;10000;10;504.271000;50.427100;21.288400;21.084800;8.053900;212.884000;210.848000;80.539000;5.414973
270000;10000;10;523.555000;52.355500;22.651600;21.510300;8.193600;226.516000;215.103000;81.936000;5.431364
280000;10000;10;538.893000;53.889300;23.028500;22.235300;8.625500;230.285000;222.353000;86.255000;5.447158
290000;10000;10;560.927000;56.092700;23.641700;23.069100;9.381900;236.417000;230.691000;93.819000;5.462398
300000;10000;10;564.521000;56.452100;24.060400;23.394500;8.997200;240.604000;233.945000;89.972000;5.477121
310000;10000;10;633.384000;63.338400;27.686300;25.886600;9.765500;276.863000;258.866000;97.655000;5.491362
320000;10000;10;620.027000;62.002700;26.743900;25.458100;9.800700;267.439000;254.581000;98.007000;5.505150
330000;10000;10;612.492000;61.249200;26.092100;25.225000;9.932100;260.921000;252.250000;99.321000;5.518514
340000;10000;10;672.329000;67.232900;28.686900;27.786700;10.759300;286.869000;277.867000;107.593000;5.531479
350000;10000;10;668.116000;66.811600;28.809300;27.477900;10.524400;288.093000;274.779000;105.244000;5.544068
360000;10000;10;719.567000;71.956700;30.713000;29.564200;11.679500;307.130000;295.642000;116.795000;5.556303
370000;10000;10;741.540000;74.154000;31.182600;29.928300;13.043100;311.826000;299.283000;130.431000;5.568202
