"n","max_key","number_of_run","total_time","average_time","average_time_insert","average_time_search","average_time_delete","total_time_insert","total_time_search","total_time_delete","Ologn"
10000,10000,10,42.137000,4.213700,1.801400,1.139100,1.273200,18.014000,11.391000,12.732000,4.000000
20000,10000,10,83.929000,8.392900,3.292100,2.522700,2.578100,32.921000,25.227000,25.781000,4.301030
30000,10000,10,134.925000,13.492500,5.360600,5.288600,2.843300,53.606000,52.886000,28.433000,4.477121
40000,10000,10,173.634000,17.363400,6.734000,5.840300,4.789100,67.340000,58.403000,47.891000,4.602060
50000,10000,10,214.699000,21.469900,8.463400,7.904900,5.101600,84.634000,79.049000,51.016000,4.698970
60000,10000,10,253.213000,25.321300,10.330700,9.798600,5.192000,103.307000,97.986000,51.920000,4.778152
70000,10000,10,285.481000,28.548100,11.982500,11.174600,5.391000,119.825000,111.746000,53.910000,4.845098
80000,10000,10,327.238000,32.723800,13.861000,13.236900,5.625900,138.610000,132.369000,56.259000,4.903090
90000,10000,10,404.609000,40.460900,17.069100,16.705700,6.686100,170.691000,167.057000,66.861000,4.954243
100000,10000,10,430.164000,43.016400,18.493200,17.868500,6.654700,184.932000,178.685000,66.547000,5.000000
110000,10000,10,458.461000,45.846100,20.033200,19.435500,6.377400,200.332000,194.355000,63.774000,5.041393
120000,10000,10,506.311000,50.631100,22.592200,21.291000,6.747900,225.922000,212.910000,67.479000,5.079181
130000,10000,10,524.669000,52.466900,23.333700,22.736300,6.396900,233.337000,227.363000,63.969000,5.113944
140000,10000,10,545.270000,54.527000,24.468200,23.740400,6.318400,244.682000,237.404000,63.184000,5.146128
150000,10000,10,576.680000,57.668000,25.999300,25.391700,6.277000,259.993000,253.917000,62.770000,5.176091
160000,10000,10,610.380000,61.038000,27.645400,27.057500,6.335100,276.454000,270.575000,63.351000,5.204120
170000,10000,10,646.334000,64.633400,29.614700,28.521700,6.497000,296.147000,285.217000,64.970000,5.230449
180000,10000,10,678.288000,67.828800,30.797700,30.712000,6.319100,307.977000,307.120000,63.191000,5.255272
190000,10000,10,718.907000,71.890700,32.846200,32.561500,6.483000,328.462000,325.615000,64.830000,5.278754
200000,10000,10,756.197000,75.619700,34.837400,34.385400,6.396900,348.374000,343.854000,63.969000,5.301030
210000,10000,10,785.886000,78.588600,36.339200,35.762700,6.486700,363.392000,357.627000,64.867000,5.322219
220000,10000,10,826.813000,82.681300,38.049900,37.583100,7.048300,380.499000,375.831000,70.483000,5.342422
230000,10000,10,862.761000,86.276100,40.020600,39.471100,6.784400,400.206000,394.711000,67.844000,5.361728
240000,10000,10,901.784000,90.178400,41.919600,41.477300,6.781500,419.196000,414.773000,67.815000,5.380211
250000,10000,10,935.777000,93.577700,43.429300,43.384100,6.764300,434.293000,433.841000,67.643000,5.397940
260000,10000,10,978.998000,97.899800,45.769600,45.336700,6.793500,457.696000,453.367000,67.935000,5.414973
270000,10000,10,1019.526000,101.952600,46.961200,47.852500,7.138900,469.612000,478.525000,71.389000,5.431364
280000,10000,10,1054.649000,105.464900,49.441800,48.707200,7.315900,494.418000,487.072000,73.159000,5.447158
290000,10000,10,1096.803000,109.680300,51.568700,50.951500,7.160100,515.687000,509.515000,71.601000,5.462398
300000,10000,10,1130.309000,113.030900,53.167100,52.714200,7.149600,531.671000,527.142000,71.496000,5.477121
310000,10000,10,1165.128000,116.512800,54.253700,55.270100,6.989000,542.537000,552.701000,69.890000,5.491362
320000,10000,10,1137.878000,113.787800,53.580100,52.921300,7.286400,535.801000,529.213000,72.864000,5.505150
330000,10000,10,1172.589000,117.258900,55.016400,54.784600,7.457900,550.164000,547.846000,74.579000,5.518514
340000,10000,10,1224.009000,122.400900,57.360000,57.298500,7.742400,573.600000,572.985000,77.424000,5.531479
350000,10000,10,1266.591000,126.659100,59.627300,59.555100,7.476700,596.273000,595.551000,74.767000,5.544068
360000,10000,10,1301.018000,130.101800,61.601800,61.016700,7.483300,616.018000,610.167000,74.833000,5.556303
370000,10000,10,1341.336000,134.133600,62.891100,63.591500,7.651000,628.911000,635.915000,76.510000,5.568202
380000,10000,10,1436.574000,143.657400,67.587400,68.185500,7.884500,675.874000,681.855000,78.845000,5.579783
390000,10000,10,1423.394000,142.339400,67.403400,67.263600,7.672400,674.034000,672.636000,76.724000,5.591064
400000,10000,10,1458.216000,145.821600,69.099100,68.846400,7.876100,690.991000,688.464000,78.761000,5.602060
410000,10000,10,1503.222000,150.322200,70.573100,71.850600,7.898500,705.731000,718.506000,78.985000,5.612784
420000,10000,10,1550.775000,155.077500,73.625600,73.249100,8.202800,736.256000,732.491000,82.028000,5.623250
430000,10000,10,1588.391000,158.839100,75.629000,75.184200,8.025900,756.290000,751.842000,80.259000,5.633469
