"number_of_comparaisons","n"
0,0
1,1
2,2
2,3
2,4
3,5
2,6
3,7
3,8
3,9
3,10
3,11
4,12
3,13
4,14
4,15
4,16
4,17
4,18
4,19
5,20
5,21
4,22
4,23
5,24
5,25
5,26
5,27
6,28
4,29
6,30
5,31
5,32
6,33
6,34
5,35
6,36
5,37
6,38
4,39
6,40
5,41
5,42
7,43
6,44
6,45
4,46
5,47
6,48
6,49
6,50
6,51
6,52
6,53
5,54
6,55
6,56
6,57
6,58
6,59
6,60
7,61
6,62
6,63
6,64
6,65
6,66
6,67
6,68
7,69
6,70
7,71
7,72
6,73
7,74
6,75
7,76
8,77
5,78
6,79
7,80
6,81
8,82
8,83
6,84
7,85
7,86
7,87
6,88
7,89
7,90
8,91
7,92
7,93
6,94
7,95
8,96
7,97
7,98
6,99
7,100
8,101
6,102
7,103
7,104
6,105
7,106
7,107
7,108
6,109
7,110
7,111
7,112
7,113
8,114
6,115
6,116
8,117
7,118
9,119
6,120
8,121
6,122
7,123
7,124
6,125
6,126
7,127
7,128
7,129
5,130
7,131
6,132
6,134
8,135
8,136
7,137
8,138
7,139
7,140
8,141
8,142
7,143
8,144
8,145
7,146
7,147
7,148
8,149
8,150
7,151
7,152
6,153
7,154
7,155
7,156
8,157
6,158
8,159
8,160
9,161
8,162
7,163
9,164
7,165
7,166
8,167
8,168
8,169
8,170
7,171
7,172
8,173
9,174
8,175
8,176
9,177
8,178
8,179
8,180
7,181
8,182
7,183
7,184
7,185
9,186
8,187
9,188
8,189
8,190
6,191
8,192
7,193
6,194
9,195
8,196
6,197
7,198
7,199
8,200
8,201
7,202
8,203
9,204
7,205
8,206
8,207
8,208
8,209
7,210
8,211
9,212
9,214
8,216
9,217
8,218
7,219
8,220
8,221
7,222
7,223
8,224
8,225
9,226
9,227
9,228
8,229
9,230
7,231
10,233
9,234
7,235
8,236
8,237
9,238
8,239
7,240
9,241
8,242
8,243
7,244
7,245
7,246
9,247
8,248
7,249
8,250
9,251
8,252
8,253
9,254
8,256
7,257
9,258
9,259
10,260
8,261
9,262
9,263
8,264
8,265
8,266
8,267
7,268
9,270
8,271
9,272
7,273
7,274
7,276
7,277
9,278
9,279
9,280
8,281
7,282
9,283
7,284
9,285
10,286
7,287
8,288
9,289
8,290
8,291
8,292
9,293
8,294
9,295
9,296
8,297
9,298
8,299
9,300
8,301
8,302
9,303
7,304
8,305
8,306
9,307
9,308
8,309
9,310
7,311
10,312
8,313
9,314
8,315
7,316
9,318
8,319
9,320
9,321
8,322
7,323
10,326
8,327
9,328
9,329
9,330
10,331
7,332
8,333
8,334
9,335
9,336
9,337
8,338
9,339
7,340
10,341
9,342
9,343
8,344
8,345
9,346
9,347
8,348
8,349
7,350
8,351
8,353
7,354
10,355
9,356
9,357
8,358
8,359
9,360
11,361
10,362
9,363
8,364
9,365
10,366
9,367
9,368
10,369
8,370
8,372
8,373
9,374
8,375
9,376
9,377
9,378
8,379
11,380
7,381
8,382
8,383
7,384
9,385
9,386
9,387
8,388
8,389
9,390
9,391
8,392
9,393
9,394
10,395
8,396
9,397
7,398
10,399
9,400
10,401
9,402
9,403
9,404
11,405
8,406
9,407
8,408
8,409
9,410
10,411
9,412
8,413
8,415
9,416
9,417
9,418
10,419
9,420
8,421
9,422
9,423
9,424
10,425
9,426
8,427
9,428
8,429
8,430
10,431
8,432
9,433
10,434
10,435
9,436
10,437
9,438
9,439
9,440
9,441
9,442
9,443
9,444
9,445
11,446
10,447
9,448
7,449
10,450
9,451
8,452
10,453
8,454
10,455
8,456
9,457
10,458
11,459
9,460
9,461
9,462
9,463
9,464
8,465
9,466
9,467
7,468
11,469
9,470
9,471
9,472
10,473
10,475
8,476
7,477
8,478
10,479
11,480
10,481
8,482
9,483
8,484
10,485
10,486
11,487
9,488
8,490
9,491
7,492
9,493
8,494
11,495
10,497
11,498
10,499
8,500
9,501
9,502
8,503
11,504
8,505
9,506
10,507
11,508
8,509
9,510
11,511
10,512
11,513
10,514
8,515
9,516
8,517
9,518
9,519
8,520
11,521
9,522
9,523
9,524
9,525
10,526
10,527
8,528
9,529
9,530
9,531
10,532
9,533
12,534
10,535
8,536
11,537
11,538
10,539
8,540
8,541
10,542
9,543
11,544
9,545
8,546
9,547
10,548
8,549
9,550
10,551
11,552
10,553
10,554
8,555
10,556
8,557
10,558
9,559
9,560
9,561
8,562
10,563
9,564
11,565
9,566
9,567
9,568
8,569
9,570
9,571
9,572
9,574
8,575
9,576
9,577
9,578
9,580
11,582
10,583
11,584
9,585
11,586
10,587
10,588
11,589
10,590
10,591
9,592
12,593
9,594
9,595
10,596
9,597
11,598
9,599
10,600
8,601
9,602
8,603
9,604
8,605
9,606
10,607
10,608
10,609
10,610
8,611
10,612
9,613
11,614
11,615
10,616
9,617
9,618
10,620
9,621
11,622
12,623
9,624
10,625
8,626
10,627
10,628
10,629
9,630
8,631
8,632
10,633
10,634
9,635
10,636
8,637
11,638
10,639
10,641
10,643
10,646
10,649
9,651
10,652
8,653
10,654
11,655
8,656
11,657
9,658
9,659
9,660
9,661
11,662
9,664
9,665
9,666
12,667
8,668
10,669
8,670
11,671
10,672
9,673
9,674
9,675
9,676
11,677
8,678
9,679
10,680
10,681
9,682
9,683
9,684
11,685
10,686
11,687
12,689
10,690
11,692
10,693
10,694
11,695
8,696
9,697
9,698
9,699
9,700
9,701
10,702
9,703
10,704
7,705
9,706
10,707
8,708
9,709
11,710
9,711
9,713
9,714
9,715
9,716
10,717
11,718
10,719
10,720
11,721
9,722
11,723
9,724
10,725
9,726
10,727
10,728
10,729
11,730
9,731
11,732
10,733
9,734
8,735
10,736
12,737
9,738
10,739
12,740
9,741
9,742
11,743
10,744
9,745
11,747
10,748
10,749
11,750
8,751
11,753
10,754
9,755
8,756
11,757
9,758
10,759
9,761
11,762
10,763
11,764
8,765
10,767
9,768
8,769
12,770
9,771
9,772
9,773
9,774
9,775
10,776
10,778
11,779
11,781
8,782
9,783
9,784
9,785
8,786
11,787
8,788
10,789
10,790
10,791
10,792
11,793
11,794
12,795
10,796
10,797
9,798
9,799
9,800
10,801
9,802
9,803
10,805
10,807
11,808
12,811
10,812
11,813
8,814
11,815
9,817
10,818
11,819
9,820
11,821
11,822
11,823
11,824
9,825
12,826
11,827
11,828
12,829
10,830
9,831
11,832
11,833
10,834
10,835
10,836
12,837
11,838
11,839
10,840
11,841
9,842
10,843
10,845
10,846
11,847
9,849
10,850
10,851
10,852
9,853
12,854
7,855
10,856
10,857
9,858
11,859
9,860
10,861
10,862
11,863
11,864
8,865
9,866
10,867
11,869
9,870
11,871
10,872
10,873
10,874
11,875
11,877
9,879
10,880
11,881
11,882
11,883
10,884
9,885
10,887
9,888
11,889
10,890
12,891
9,893
11,894
10,895
10,896
9,897
11,898
9,900
10,901
10,902
9,903
11,904
11,905
9,906
11,907
11,908
10,909
10,910
10,912
10,913
11,914
10,915
9,916
9,917
10,918
10,919
10,920
9,921
10,922
11,923
11,924
10,925
10,926
10,927
8,928
11,929
9,930
11,931
9,932
11,933
10,935
9,936
10,937
9,938
9,939
11,940
10,941
10,942
9,943
7,944
11,945
10,946
9,949
9,950
11,951
9,952
11,953
9,954
10,955
10,956
12,957
11,958
11,959
9,961
9,962
11,963
9,965
11,967
10,968
8,969
12,970
10,971
9,972
10,973
11,974
11,975
12,976
9,977
10,978
10,979
10,980
11,981
9,982
10,983
10,984
11,985
10,986
12,987
11,988
10,989
11,990
9,991
11,992
9,993
11,994
10,995
10,996
9,997
10,998
9,999
10,1000
11,1001
10,1002
9,1003
11,1004
10,1005
9,1006
7,1007
10,1008
10,1009
11,1010
12,1011
10,1012
11,1013
12,1014
9,1015
10,1016
10,1017
10,1018
12,1019
10,1020
9,1021
12,1022
11,1023
11,1025
11,1027
9,1028
11,1030
11,1031
11,1032
11,1033
11,1034
11,1035
10,1037
11,1038
11,1040
8,1041
12,1042
11,1043
11,1044
8,1045
10,1046
9,1047
11,1048
10,1049
9,1050
9,1051
10,1052
9,1053
10,1054
8,1055
9,1056
10,1058
10,1059
10,1060
10,1061
12,1062
10,1063
10,1064
12,1066
10,1067
9,1068
12,1069
12,1070
12,1072
10,1073
11,1074
11,1075
9,1076
8,1077
11,1078
9,1079
9,1080
11,1081
10,1082
11,1083
10,1084
10,1085
9,1086
11,1087
9,1088
11,1089
9,1090
10,1091
9,1092
11,1094
9,1095
11,1096
9,1100
11,1101
9,1102
11,1103
10,1104
11,1105
12,1106
10,1107
11,1108
10,1109
10,1111
11,1112
11,1113
10,1114
11,1115
10,1116
10,1117
