nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;144.626000;14.462600;5.786900;4.197800;4.477900;57.869000;41.978000;44.779000;4.000000
15000;1000000;10;208.665000;20.866500;7.411400;6.384200;7.070900;74.114000;63.842000;70.709000;4.176091
20000;1000000;10;286.713000;28.671300;10.321400;8.420900;9.929000;103.214000;84.209000;99.290000;4.301030
25000;1000000;10;377.737000;37.773700;13.313200;11.544200;12.916300;133.132000;115.442000;129.163000;4.397940
30000;1000000;10;503.039000;50.303900;17.807100;15.315400;17.181400;178.071000;153.154000;171.814000;4.477121
35000;1000000;10;564.769000;56.476900;19.587400;17.465300;19.424200;195.874000;174.653000;194.242000;4.544068
40000;1000000;10;689.001000;68.900100;24.121300;20.735000;24.043800;241.213000;207.350000;240.438000;4.602060
45000;1000000;10;762.939000;76.293900;26.277600;23.478400;26.537900;262.776000;234.784000;265.379000;4.653213
50000;1000000;10;923.271000;92.327100;32.052800;29.196200;31.078100;320.528000;291.962000;310.781000;4.698970
55000;1000000;10;1003.442000;100.344200;34.496800;31.378500;34.468900;344.968000;313.785000;344.689000;4.740363
60000;1000000;10;1119.439000;111.943900;38.511500;34.805900;38.626500;385.115000;348.059000;386.265000;4.778152
65000;1000000;10;1167.336000;116.733600;40.896700;35.110100;40.726800;408.967000;351.101000;407.268000;4.812913
70000;1000000;10;1262.750000;126.275000;44.057800;39.171300;43.045900;440.578000;391.713000;430.459000;4.845098
75000;1000000;10;1356.252000;135.625200;45.669800;42.806700;47.148700;456.698000;428.067000;471.487000;4.875061
80000;1000000;10;1528.711000;152.871100;52.487100;47.165600;53.218400;524.871000;471.656000;532.184000;4.903090
85000;1000000;10;1565.567000;156.556700;53.603200;49.403800;53.549700;536.032000;494.038000;535.497000;4.929419
90000;1000000;10;1662.656000;166.265600;57.539200;52.392100;56.334300;575.392000;523.921000;563.343000;4.954243
95000;1000000;10;1889.638000;188.963800;66.693200;58.282600;63.988000;666.932000;582.826000;639.880000;4.977724
100000;1000000;10;1896.912000;189.691200;63.947200;61.029400;64.714600;639.472000;610.294000;647.146000;5.000000
105000;1000000;10;2058.965000;205.896500;70.200500;65.668900;70.027100;702.005000;656.689000;700.271000;5.021189
