nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;95.694000;9.569400;4.090900;2.677800;2.800700;40.909000;26.778000;28.007000;4.000000
15000;1000000;10;148.698000;14.869800;6.129100;4.195900;4.544800;61.291000;41.959000;45.448000;4.176091
20000;1000000;10;142.380000;14.238000;5.796800;4.363800;4.077400;57.968000;43.638000;40.774000;4.301030
25000;1000000;10;172.435000;17.243500;7.549900;5.368600;4.325000;75.499000;53.686000;43.250000;4.397940
30000;1000000;10;216.234000;21.623400;9.361800;6.350500;5.911100;93.618000;63.505000;59.111000;4.477121
35000;1000000;10;235.230000;23.523000;10.208200;7.021000;6.293800;102.082000;70.210000;62.938000;4.544068
40000;1000000;10;286.671000;28.667100;12.292600;8.605600;7.768900;122.926000;86.056000;77.689000;4.602060
45000;1000000;10;331.978000;33.197800;14.397200;9.446700;9.353900;143.972000;94.467000;93.539000;4.653213
50000;1000000;10;350.585000;35.058500;15.330500;10.453400;9.274600;153.305000;104.534000;92.746000;4.698970
55000;1000000;10;395.141000;39.514100;17.210300;11.940100;10.363700;172.103000;119.401000;103.637000;4.740363
60000;1000000;10;442.733000;44.273300;19.255600;13.242600;11.775100;192.556000;132.426000;117.751000;4.778152
65000;1000000;10;454.086000;45.408600;19.855500;13.668800;11.884300;198.555000;136.688000;118.843000;4.812913
70000;1000000;10;515.165000;51.516500;22.051500;15.600200;13.864800;220.515000;156.002000;138.648000;4.845098
75000;1000000;10;533.697000;53.369700;22.982400;15.923100;14.464200;229.824000;159.231000;144.642000;4.875061
80000;1000000;10;588.596000;58.859600;25.518600;17.696700;15.644300;255.186000;176.967000;156.443000;4.903090
85000;1000000;10;618.511000;61.851100;26.927500;18.332800;16.590800;269.275000;183.328000;165.908000;4.929419
90000;1000000;10;648.214000;64.821400;28.142400;19.085800;17.593200;281.424000;190.858000;175.932000;4.954243
95000;1000000;10;748.141000;74.814100;32.832400;21.159200;20.822500;328.324000;211.592000;208.225000;4.977724
100000;1000000;10;749.440000;74.944000;33.042100;21.480600;20.421300;330.421000;214.806000;204.213000;5.000000
105000;1000000;10;757.403000;75.740300;33.231800;21.889000;20.619500;332.318000;218.890000;206.195000;5.021189
