nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;64.969000;6.496900;2.779400;1.723300;1.994200;27.794000;17.233000;19.942000;4.000000
15000;1000000;10;92.135000;9.213500;3.428700;2.675100;3.109700;34.287000;26.751000;31.097000;4.176091
20000;1000000;10;133.869000;13.386900;4.977100;4.025500;4.384300;49.771000;40.255000;43.843000;4.301030
25000;1000000;10;179.167000;17.916700;6.846000;5.218300;5.852400;68.460000;52.183000;58.524000;4.397940
30000;1000000;10;225.269000;22.526900;8.207000;6.747300;7.572600;82.070000;67.473000;75.726000;4.477121
35000;1000000;10;280.206000;28.020600;10.115200;8.529700;9.375700;101.152000;85.297000;93.757000;4.544068
40000;1000000;10;332.225000;33.222500;12.190100;10.076000;10.956400;121.901000;100.760000;109.564000;4.602060
45000;1000000;10;384.836000;38.483600;14.328200;12.007100;12.148300;143.282000;120.071000;121.483000;4.653213
50000;1000000;10;512.712000;51.271200;19.917100;14.396100;16.958000;199.171000;143.961000;169.580000;4.698970
55000;1000000;10;527.975000;52.797500;18.795700;15.517100;18.484700;187.957000;155.171000;184.847000;4.740363
60000;1000000;10;582.589000;58.258900;20.242900;17.246600;20.769400;202.429000;172.466000;207.694000;4.778152
65000;1000000;10;631.003000;63.100300;22.176000;18.742900;22.181400;221.760000;187.429000;221.814000;4.812913
70000;1000000;10;687.017000;68.701700;24.124500;20.567700;24.009500;241.245000;205.677000;240.095000;4.845098
75000;1000000;10;690.010000;69.001000;28.448300;21.883100;18.669600;284.483000;218.831000;186.696000;4.875061
80000;1000000;10;892.209000;89.220900;32.307300;25.635000;31.278600;323.073000;256.350000;312.786000;4.903090
85000;1000000;10;891.030000;89.103000;31.575300;25.918200;31.609500;315.753000;259.182000;316.095000;4.929419
90000;1000000;10;885.434000;88.543400;32.458800;26.860400;29.224200;324.588000;268.604000;292.242000;4.954243
95000;1000000;10;1020.242000;102.024200;35.283600;30.718900;36.021700;352.836000;307.189000;360.217000;4.977724
100000;1000000;10;1009.893000;100.989300;35.346500;30.132900;35.509900;353.465000;301.329000;355.099000;5.000000
105000;1000000;10;1103.325000;110.332500;38.457600;33.071300;38.803600;384.576000;330.713000;388.036000;5.021189
110000;1000000;10;1135.358000;113.535800;40.427800;34.738800;38.369200;404.278000;347.388000;383.692000;5.041393
115000;1000000;10;1264.732000;126.473200;42.804300;38.743700;44.925200;428.043000;387.437000;449.252000;5.060698
120000;1000000;10;1297.600000;129.760000;45.335100;38.918000;45.506900;453.351000;389.180000;455.069000;5.079181
125000;1000000;10;1373.159000;137.315900;47.297800;41.703800;48.314300;472.978000;417.038000;483.143000;5.096910
130000;1000000;10;1335.923000;133.592300;47.224000;41.548200;44.820100;472.240000;415.482000;448.201000;5.113944
135000;1000000;10;1480.973000;148.097300;49.386100;46.743500;51.967700;493.861000;467.435000;519.677000;5.130334
140000;1000000;10;1533.114000;153.311400;52.411700;47.200100;53.699600;524.117000;472.001000;536.996000;5.146128
150000;1000000;10;1629.265000;162.926500;56.334000;50.446400;56.146100;563.340000;504.464000;561.461000;5.176091
155000;1000000;10;1461.151000;146.115100;61.734100;49.075700;35.305300;617.341000;490.757000;353.053000;5.190331
160000;1000000;10;1903.574000;190.357400;66.569700;58.978600;64.809100;665.697000;589.786000;648.091000;5.204120
165000;1000000;10;1930.807000;193.080700;65.021100;60.071400;67.988200;650.211000;600.714000;679.882000;5.217484
170000;1000000;10;1697.509000;169.750900;68.647700;57.017300;44.085900;686.477000;570.173000;440.859000;5.230449
175000;1000000;10;2122.577000;212.257700;72.124200;67.664900;72.468600;721.242000;676.649000;724.686000;5.243038
180000;1000000;10;1789.802000;178.980200;74.653700;62.041800;42.284700;746.537000;620.418000;422.847000;5.255272
185000;1000000;10;2144.225000;214.422500;75.439300;66.437600;72.545600;754.393000;664.376000;725.456000;5.267172
190000;1000000;10;2237.661000;223.766100;77.480200;69.895700;76.390200;774.802000;698.957000;763.902000;5.278754
195000;1000000;10;2144.316000;214.431600;78.951600;72.743700;62.736300;789.516000;727.437000;627.363000;5.290035
200000;1000000;10;2090.562000;209.056200;81.968200;71.281600;55.806400;819.682000;712.816000;558.064000;5.301030
205000;1000000;10;2568.988000;256.898800;84.291800;84.220300;88.386700;842.918000;842.203000;883.867000;5.311754
210000;1000000;10;2656.113000;265.611300;89.805500;83.990100;91.815700;898.055000;839.901000;918.157000;5.322219
215000;1000000;10;2503.901000;250.390100;90.061900;80.320300;80.007900;900.619000;803.203000;800.079000;5.332438
220000;1000000;10;2689.680000;268.968000;92.286300;87.046200;89.635500;922.863000;870.462000;896.355000;5.342422
225000;1000000;10;2537.646000;253.764600;94.344300;85.827000;73.593300;943.443000;858.270000;735.933000;5.352182
230000;1000000;10;2817.405000;281.740500;96.425100;93.944400;91.371000;964.251000;939.444000;913.710000;5.361728
235000;1000000;10;3077.930000;307.793000;100.347800;98.438300;109.006900;1003.478000;984.383000;1090.069000;5.371068
240000;1000000;10;3309.233000;330.923300;109.715700;109.072700;112.134900;1097.157000;1090.727000;1121.349000;5.380211
245000;1000000;10;3409.782000;340.978200;112.374000;112.149800;116.454400;1123.740000;1121.498000;1164.544000;5.389166
250000;1000000;10;3263.341000;326.334100;111.553000;107.175900;107.605200;1115.530000;1071.759000;1076.052000;5.397940
255000;1000000;10;3668.357000;366.835700;120.775700;121.042800;125.017200;1207.757000;1210.428000;1250.172000;5.406540
260000;1000000;10;3865.738000;386.573800;130.717000;124.771700;131.085100;1307.170000;1247.717000;1310.851000;5.414973
265000;1000000;10;3225.522000;322.552200;122.278800;111.931800;88.341600;1222.788000;1119.318000;883.416000;5.423246
270000;1000000;10;3687.044000;368.704400;125.572600;124.535200;118.596600;1255.726000;1245.352000;1185.966000;5.431364
275000;1000000;10;4154.840000;415.484000;136.469200;138.343200;140.671600;1364.692000;1383.432000;1406.716000;5.439332
280000;1000000;10;4282.121000;428.212100;148.595600;140.977900;138.638600;1485.956000;1409.779000;1386.386000;5.447158
285000;1000000;10;4118.570000;411.857000;143.880600;137.797900;130.178500;1438.806000;1377.979000;1301.785000;5.454845
290000;1000000;10;4111.914000;411.191400;149.486100;141.807300;119.898000;1494.861000;1418.073000;1198.980000;5.462398
295000;1000000;10;3985.686000;398.568600;162.571900;146.985500;89.011200;1625.719000;1469.855000;890.112000;5.469822
300000;1000000;10;4001.079000;400.107900;153.930500;140.800100;105.377300;1539.305000;1408.001000;1053.773000;5.477121
305000;1000000;10;4745.962000;474.596200;161.991200;155.650800;156.954200;1619.912000;1556.508000;1569.542000;5.484300
310000;1000000;10;5146.565000;514.656500;182.282900;164.927900;167.445700;1822.829000;1649.279000;1674.457000;5.491362
315000;1000000;10;4838.448000;483.844800;163.915800;160.305900;159.623100;1639.158000;1603.059000;1596.231000;5.498311
320000;1000000;10;4917.686000;491.768600;173.432800;159.956100;158.379700;1734.328000;1599.561000;1583.797000;5.505150
325000;1000000;10;5221.211000;522.121100;190.367400;170.164300;161.589400;1903.674000;1701.643000;1615.894000;5.511883
330000;1000000;10;5630.508000;563.050800;198.142900;179.629800;185.278100;1981.429000;1796.298000;1852.781000;5.518514
335000;1000000;10;5524.187000;552.418700;202.195400;178.029100;172.194200;2021.954000;1780.291000;1721.942000;5.525045
340000;1000000;10;5577.880000;557.788000;206.157000;187.573200;164.057800;2061.570000;1875.732000;1640.578000;5.531479
345000;1000000;10;5810.777000;581.077700;209.737500;191.632400;179.707800;2097.375000;1916.324000;1797.078000;5.537819
350000;1000000;10;5671.968000;567.196800;211.214800;192.905500;163.076500;2112.148000;1929.055000;1630.765000;5.544068
355000;1000000;10;5735.511000;573.551100;209.747500;192.167900;171.635700;2097.475000;1921.679000;1716.357000;5.550228
360000;1000000;10;6161.469000;616.146900;232.977700;210.311700;172.857500;2329.777000;2103.117000;1728.575000;5.556303
365000;1000000;10;6370.451000;637.045100;227.296200;210.177600;199.571300;2272.962000;2101.776000;1995.713000;5.562293
370000;1000000;10;5899.806000;589.980600;213.707300;198.696400;177.576900;2137.073000;1986.964000;1775.769000;5.568202
375000;1000000;10;6869.548000;686.954800;246.395600;225.534500;215.024700;2463.956000;2255.345000;2150.247000;5.574031
380000;1000000;10;6333.534000;633.353400;229.269300;206.419200;197.664900;2292.693000;2064.192000;1976.649000;5.579783
385000;1000000;10;6553.316000;655.331600;238.422900;215.184000;201.724700;2384.229000;2151.840000;2017.247000;5.585461
390000;1000000;10;6292.851000;629.285100;251.165600;219.756900;158.362600;2511.656000;2197.569000;1583.626000;5.591064
395000;1000000;10;7432.226000;743.222600;267.739000;241.735000;233.748600;2677.390000;2417.350000;2337.486000;5.596597
400000;1000000;10;6705.321000;670.532100;252.963300;224.256200;193.312600;2529.633000;2242.562000;1933.126000;5.602060
405000;1000000;10;6774.828000;677.482800;252.332900;232.901100;192.248800;2523.329000;2329.011000;1922.488000;5.607455
410000;1000000;10;7055.355000;705.535500;261.236200;240.778000;203.521300;2612.362000;2407.780000;2035.213000;5.612784
415000;1000000;10;7325.848000;732.584800;258.512300;238.421500;235.651000;2585.123000;2384.215000;2356.510000;5.618048
420000;1000000;10;7656.453000;765.645300;266.096200;251.159500;248.389600;2660.962000;2511.595000;2483.896000;5.623250
425000;1000000;10;7190.057000;719.005700;274.796600;240.335500;203.873600;2747.966000;2403.355000;2038.736000;5.628389
430000;1000000;10;7200.719000;720.071900;259.113900;239.046000;221.912000;2591.139000;2390.460000;2219.120000;5.633469
435000;1000000;10;7758.490000;775.849000;268.528500;260.685600;246.634900;2685.285000;2606.856000;2466.349000;5.638489
440000;1000000;10;7605.425000;760.542500;262.566800;253.538700;244.437000;2625.668000;2535.387000;2444.370000;5.643453
445000;1000000;10;7305.523000;730.552300;280.459400;259.902800;190.190100;2804.594000;2599.028000;1901.901000;5.648360
450000;1000000;10;8291.567000;829.156700;292.276900;277.193500;259.686300;2922.769000;2771.935000;2596.863000;5.653213
455000;1000000;10;7552.387000;755.238700;281.897200;260.895600;212.445900;2818.972000;2608.956000;2124.459000;5.658011
460000;1000000;10;7797.468000;779.746800;283.762300;262.983000;233.001500;2837.623000;2629.830000;2330.015000;5.662758
465000;1000000;10;8318.209000;831.820900;297.127700;276.499600;258.193600;2971.277000;2764.996000;2581.936000;5.667453
470000;1000000;10;8177.032000;817.703200;289.902000;272.608000;255.193200;2899.020000;2726.080000;2551.932000;5.672098
475000;1000000;10;9018.764000;901.876400;319.661000;296.573000;285.642400;3196.610000;2965.730000;2856.424000;5.676693
480000;1000000;10;8345.160000;834.516000;296.587100;276.007000;261.921900;2965.871000;2760.070000;2619.219000;5.681241
485000;1000000;10;9249.548000;924.954800;328.011100;305.573500;291.370200;3280.111000;3055.735000;2913.702000;5.685742
490000;1000000;10;8425.322000;842.532200;309.447400;282.691000;250.393800;3094.474000;2826.910000;2503.938000;5.690196
495000;1000000;10;9418.721000;941.872100;329.179900;308.918400;303.773800;3291.799000;3089.184000;3037.738000;5.694605
500000;1000000;10;9026.022000;902.602200;336.078900;307.816100;258.707200;3360.789000;3078.161000;2587.072000;5.698970
505000;1000000;10;9334.057000;933.405700;327.923300;304.970700;300.511700;3279.233000;3049.707000;3005.117000;5.703291
510000;1000000;10;9629.007000;962.900700;337.937600;313.553800;311.409300;3379.376000;3135.538000;3114.093000;5.707570
515000;1000000;10;9078.981000;907.898100;347.362300;308.953400;251.582400;3473.623000;3089.534000;2515.824000;5.711807
520000;1000000;10;8792.679000;879.267900;337.622200;303.655900;237.989800;3376.222000;3036.559000;2379.898000;5.716003
525000;1000000;10;9282.936000;928.293600;330.874600;309.845400;287.573600;3308.746000;3098.454000;2875.736000;5.720160
530000;1000000;10;9396.258000;939.625800;347.726900;313.795100;278.103800;3477.269000;3137.951000;2781.038000;5.724276
535000;1000000;10;9305.567000;930.556700;359.227900;326.849800;244.479000;3592.279000;3268.498000;2444.790000;5.728354
540000;1000000;10;9940.451000;994.045100;354.482400;323.985700;315.577000;3544.824000;3239.857000;3155.770000;5.732394
545000;1000000;10;10233.646000;1023.364600;359.034600;342.970100;321.359900;3590.346000;3429.701000;3213.599000;5.736396
550000;1000000;10;10332.587000;1033.258700;366.964800;339.429500;326.864400;3669.648000;3394.295000;3268.644000;5.740363
555000;1000000;10;9223.398000;922.339800;388.942800;339.755500;193.641500;3889.428000;3397.555000;1936.415000;5.744293
560000;1000000;10;10360.973000;1036.097300;369.048300;342.275700;324.773300;3690.483000;3422.757000;3247.733000;5.748188
565000;1000000;10;9509.370000;950.937000;378.206700;337.134700;235.595600;3782.067000;3371.347000;2355.956000;5.752048
570000;1000000;10;10518.741000;1051.874100;361.641200;340.624000;349.608900;3616.412000;3406.240000;3496.089000;5.755875
575000;1000000;10;10944.066000;1094.406600;368.508300;353.070900;372.827400;3685.083000;3530.709000;3728.274000;5.759668
580000;1000000;10;10916.821000;1091.682100;364.802100;353.869200;373.010800;3648.021000;3538.692000;3730.108000;5.763428
585000;1000000;10;11699.471000;1169.947100;381.694500;377.817900;410.434700;3816.945000;3778.179000;4104.347000;5.767156
590000;1000000;10;13729.438000;1372.943800;471.765400;435.886800;465.291600;4717.654000;4358.868000;4652.916000;5.770852
595000;1000000;10;13619.654000;1361.965400;458.379900;449.616500;453.969000;4583.799000;4496.165000;4539.690000;5.774517
600000;1000000;10;11645.049000;1164.504900;399.163300;377.392200;387.949400;3991.633000;3773.922000;3879.494000;5.778151
605000;1000000;10;11415.465000;1141.546500;383.762700;373.061400;384.722400;3837.627000;3730.614000;3847.224000;5.781755
610000;1000000;10;11448.649000;1144.864900;386.114200;376.064900;382.685800;3861.142000;3760.649000;3826.858000;5.785330
615000;1000000;10;11691.231000;1169.123100;394.410400;379.334200;395.378500;3944.104000;3793.342000;3953.785000;5.788875
620000;1000000;10;13406.683000;1340.668300;453.987100;448.295400;438.385800;4539.871000;4482.954000;4383.858000;5.792392
625000;1000000;10;15736.128000;1573.612800;534.797000;507.850400;530.965400;5347.970000;5078.504000;5309.654000;5.795880
630000;1000000;10;14729.147000;1472.914700;500.214600;470.830900;501.869200;5002.146000;4708.309000;5018.692000;5.799341
635000;1000000;10;12310.672000;1231.067200;417.765000;403.309400;409.992800;4177.650000;4033.094000;4099.928000;5.802774
640000;1000000;10;12292.090000;1229.209000;415.945300;402.824300;410.439400;4159.453000;4028.243000;4104.394000;5.806180
645000;1000000;10;14497.721000;1449.772100;466.700200;492.445100;490.626800;4667.002000;4924.451000;4906.268000;5.809560
650000;1000000;10;16023.159000;1602.315900;546.041900;517.462300;538.811700;5460.419000;5174.623000;5388.117000;5.812913
655000;1000000;10;16335.974000;1633.597400;550.948000;534.514500;548.134900;5509.480000;5345.145000;5481.349000;5.816241
660000;1000000;10;13365.514000;1336.551400;469.273800;440.550200;426.727400;4692.738000;4405.502000;4267.274000;5.819544
665000;1000000;10;14164.374000;1416.437400;470.475700;459.103300;486.858400;4704.757000;4591.033000;4868.584000;5.822822
670000;1000000;10;16938.732000;1693.873200;585.228600;543.739600;564.905000;5852.286000;5437.396000;5649.050000;5.826075
675000;1000000;10;16940.964000;1694.096400;583.252200;546.000000;564.844200;5832.522000;5460.000000;5648.442000;5.829304
680000;1000000;10;15754.726000;1575.472600;551.701300;514.942200;508.829100;5517.013000;5149.422000;5088.291000;5.832509
685000;1000000;10;13288.153000;1328.815300;453.419900;438.965800;436.429600;4534.199000;4389.658000;4364.296000;5.835690
690000;1000000;10;13580.724000;1358.072400;460.034100;449.119300;448.919000;4600.341000;4491.193000;4489.190000;5.838849
695000;1000000;10;13763.437000;1376.343700;466.222300;456.721000;453.400400;4662.223000;4567.210000;4534.004000;5.841985
700000;1000000;10;14031.494000;1403.149400;479.413400;465.216700;458.519300;4794.134000;4652.167000;4585.193000;5.845098
705000;1000000;10;14223.965000;1422.396500;481.350200;460.945800;480.100500;4813.502000;4609.458000;4801.005000;5.848189
710000;1000000;10;13710.032000;1371.003200;468.972600;447.752800;454.277800;4689.726000;4477.528000;4542.778000;5.851258
715000;1000000;10;13746.655000;1374.665500;470.777800;449.713200;454.174500;4707.778000;4497.132000;4541.745000;5.854306
720000;1000000;10;14098.845000;1409.884500;484.058800;459.359400;466.466300;4840.588000;4593.594000;4664.663000;5.857333
725000;1000000;10;13839.074000;1383.907400;473.353300;452.636800;457.917300;4733.533000;4526.368000;4579.173000;5.860338
730000;1000000;10;14062.131000;1406.213100;482.443100;459.686900;464.083100;4824.431000;4596.869000;4640.831000;5.863323
735000;1000000;10;14193.707000;1419.370700;483.415100;465.968900;469.986700;4834.151000;4659.689000;4699.867000;5.866287
740000;1000000;10;14207.440000;1420.744000;489.281100;466.189900;465.273000;4892.811000;4661.899000;4652.730000;5.869232
745000;1000000;10;14425.170000;1442.517000;497.096700;471.302500;474.117800;4970.967000;4713.025000;4741.178000;5.872156
750000;1000000;10;14722.663000;1472.266300;505.442200;482.921400;483.902700;5054.422000;4829.214000;4839.027000;5.875061
755000;1000000;10;14908.344000;1490.834400;511.408700;486.266100;493.159600;5114.087000;4862.661000;4931.596000;5.877947
760000;1000000;10;15026.547000;1502.654700;518.782600;487.284000;496.588100;5187.826000;4872.840000;4965.881000;5.880814
765000;1000000;10;15385.751000;1538.575100;533.243500;493.545400;511.786200;5332.435000;4935.454000;5117.862000;5.883661
770000;1000000;10;15316.580000;1531.658000;523.733100;498.869100;509.055800;5237.331000;4988.691000;5090.558000;5.886491
775000;1000000;10;17697.771000;1769.777100;580.023800;581.049200;608.704100;5800.238000;5810.492000;6087.041000;5.889302
780000;1000000;10;18258.082000;1825.808200;630.772100;574.984600;620.051500;6307.721000;5749.846000;6200.515000;5.892095
785000;1000000;10;15636.659000;1563.665900;540.633600;520.497200;502.535100;5406.336000;5204.972000;5025.351000;5.894870
790000;1000000;10;16262.928000;1626.292800;567.949400;543.518600;514.824800;5679.494000;5435.186000;5148.248000;5.897627
795000;1000000;10;16910.670000;1691.067000;580.143200;571.221200;539.702600;5801.432000;5712.212000;5397.026000;5.900367
800000;1000000;10;16166.211000;1616.621100;556.792300;539.332600;520.496200;5567.923000;5393.326000;5204.962000;5.903090
805000;1000000;10;16224.468000;1622.446800;553.542700;545.267800;523.636300;5535.427000;5452.678000;5236.363000;5.905796
810000;1000000;10;16429.117000;1642.911700;563.240500;549.050600;530.620600;5632.405000;5490.506000;5306.206000;5.908485
815000;1000000;10;16531.247000;1653.124700;565.712500;551.492600;535.919600;5657.125000;5514.926000;5359.196000;5.911158
820000;1000000;10;17953.603000;1795.360300;608.357100;577.072500;609.930700;6083.571000;5770.725000;6099.307000;5.913814
