nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;92.669000;9.266900;3.336400;2.700900;3.229600;33.364000;27.009000;32.296000;4.000000
15000;1000000;10;114.484000;11.448400;4.083900;3.279000;4.085500;40.839000;32.790000;40.855000;4.176091
20000;1000000;10;163.244000;16.324400;6.583700;4.116800;5.623900;65.837000;41.168000;56.239000;4.301030
25000;1000000;10;234.783000;23.478300;8.692500;6.483600;8.302200;86.925000;64.836000;83.022000;4.397940
30000;1000000;10;308.172000;30.817200;11.533100;8.757500;10.526600;115.331000;87.575000;105.266000;4.477121
35000;1000000;10;349.120000;34.912000;11.651200;11.641700;11.619100;116.512000;116.417000;116.191000;4.544068
40000;1000000;10;416.837000;41.683700;14.443200;12.566100;14.674400;144.432000;125.661000;146.744000;4.602060
45000;1000000;10;553.414000;55.341400;18.976900;15.881300;20.483200;189.769000;158.813000;204.832000;4.653213
50000;1000000;10;638.544000;63.854400;22.512900;18.864800;22.476700;225.129000;188.648000;224.767000;4.698970
55000;1000000;10;726.333000;72.633300;25.470900;21.712600;25.449800;254.709000;217.126000;254.498000;4.740363
60000;1000000;10;773.999000;77.399900;26.528200;22.521300;28.350400;265.282000;225.213000;283.504000;4.778152
65000;1000000;10;843.754000;84.375400;28.806700;24.504100;31.064600;288.067000;245.041000;310.646000;4.812913
70000;1000000;10;962.644000;96.264400;31.710000;30.072100;34.482300;317.100000;300.721000;344.823000;4.845098
75000;1000000;10;1213.028000;121.302800;41.789200;35.278400;44.235200;417.892000;352.784000;442.352000;4.875061
80000;1000000;10;1103.989000;110.398900;36.794300;33.052900;40.551700;367.943000;330.529000;405.517000;4.903090
85000;1000000;10;1183.741000;118.374100;40.222300;35.628600;42.523200;402.223000;356.286000;425.232000;4.929419
90000;1000000;10;1233.245000;123.324500;42.570800;35.350700;45.403000;425.708000;353.507000;454.030000;4.954243
95000;1000000;10;1331.530000;133.153000;43.901300;41.811600;47.440100;439.013000;418.116000;474.401000;4.977724
100000;1000000;10;1495.925000;149.592500;47.897800;48.290100;53.404600;478.978000;482.901000;534.046000;5.000000
105000;1000000;10;1497.723000;149.772300;49.910800;46.177000;53.684500;499.108000;461.770000;536.845000;5.021189
110000;1000000;10;1653.764000;165.376400;56.782200;49.004000;59.590200;567.822000;490.040000;595.902000;5.041393
115000;1000000;10;1793.047000;179.304700;62.148900;54.435900;62.719900;621.489000;544.359000;627.199000;5.060698
120000;1000000;10;1779.988000;177.998800;60.271100;52.688200;65.039500;602.711000;526.882000;650.395000;5.079181
125000;1000000;10;1778.942000;177.894200;60.968800;54.346100;62.579300;609.688000;543.461000;625.793000;5.096910
130000;1000000;10;1902.218000;190.221800;65.141500;57.030200;68.050100;651.415000;570.302000;680.501000;5.113944
135000;1000000;10;2319.932000;231.993200;79.076700;75.034600;77.881900;790.767000;750.346000;778.819000;5.130334
140000;1000000;10;2768.537000;276.853700;97.782900;83.350200;95.720600;977.829000;833.502000;957.206000;5.146128
145000;1000000;10;2593.066000;259.306600;91.677000;76.269800;91.359800;916.770000;762.698000;913.598000;5.161368
150000;1000000;10;2444.857000;244.485700;85.969800;75.146700;83.369200;859.698000;751.467000;833.692000;5.176091
155000;1000000;10;2462.749000;246.274900;87.114400;73.272300;85.888200;871.144000;732.723000;858.882000;5.190331
160000;1000000;10;3022.567000;302.256700;102.204100;95.917600;104.135000;1022.041000;959.176000;1041.350000;5.204120
165000;1000000;10;2786.822000;278.682200;92.829500;90.466300;95.386400;928.295000;904.663000;953.864000;5.217484
170000;1000000;10;2871.905000;287.190500;98.282600;86.547100;102.360800;982.826000;865.471000;1023.608000;5.230449
175000;1000000;10;3239.156000;323.915600;109.954800;95.358300;118.602500;1099.548000;953.583000;1186.025000;5.243038
180000;1000000;10;2902.964000;290.296400;99.105300;89.992800;101.198300;991.053000;899.928000;1011.983000;5.255272
185000;1000000;10;3233.874000;323.387400;109.226800;104.487700;109.672900;1092.268000;1044.877000;1096.729000;5.267172
190000;1000000;10;3429.826000;342.982600;119.199300;104.647500;119.135800;1191.993000;1046.475000;1191.358000;5.278754
195000;1000000;10;3506.579000;350.657900;120.884400;103.716000;126.057500;1208.844000;1037.160000;1260.575000;5.290035
200000;1000000;10;3644.464000;364.446400;121.076100;113.581400;129.788900;1210.761000;1135.814000;1297.889000;5.301030
205000;1000000;10;3980.829000;398.082900;139.231900;117.113700;141.737300;1392.319000;1171.137000;1417.373000;5.311754
210000;1000000;10;3736.054000;373.605400;130.448600;114.536800;128.620000;1304.486000;1145.368000;1286.200000;5.322219
215000;1000000;10;3117.988000;311.798800;102.287600;99.306200;110.205000;1022.876000;993.062000;1102.050000;5.332438
220000;1000000;10;3184.156000;318.415600;104.486700;100.587800;113.341100;1044.867000;1005.878000;1133.411000;5.342422
225000;1000000;10;3224.412000;322.441200;109.300200;101.887800;111.253200;1093.002000;1018.878000;1112.532000;5.352182
230000;1000000;10;3327.177000;332.717700;111.990400;105.203600;115.523700;1119.904000;1052.036000;1155.237000;5.361728
235000;1000000;10;3396.671000;339.667100;113.112100;109.565000;116.990000;1131.121000;1095.650000;1169.900000;5.371068
240000;1000000;10;3546.222000;354.622200;120.876000;112.381000;121.365200;1208.760000;1123.810000;1213.652000;5.380211
245000;1000000;10;3567.252000;356.725200;118.045300;113.733500;124.946400;1180.453000;1137.335000;1249.464000;5.389166
250000;1000000;10;3731.336000;373.133600;124.558000;118.907400;129.668200;1245.580000;1189.074000;1296.682000;5.397940
255000;1000000;10;3806.222000;380.622200;127.990200;120.100500;132.531500;1279.902000;1201.005000;1325.315000;5.406540
260000;1000000;10;4051.156000;405.115600;138.113600;129.357300;137.644700;1381.136000;1293.573000;1376.447000;5.414973
265000;1000000;10;4028.645000;402.864500;137.988300;128.763500;136.112700;1379.883000;1287.635000;1361.127000;5.423246
270000;1000000;10;4167.057000;416.705700;143.094700;132.031100;141.579900;1430.947000;1320.311000;1415.799000;5.431364
275000;1000000;10;4218.755000;421.875500;139.674600;138.409400;143.791500;1396.746000;1384.094000;1437.915000;5.439332
280000;1000000;10;4328.936000;432.893600;147.261100;136.624600;149.007900;1472.611000;1366.246000;1490.079000;5.447158
285000;1000000;10;4496.158000;449.615800;149.123000;146.188300;154.304500;1491.230000;1461.883000;1543.045000;5.454845
290000;1000000;10;5207.063000;520.706300;169.980200;167.218300;183.507800;1699.802000;1672.183000;1835.078000;5.462398
295000;1000000;10;5806.923000;580.692300;193.875700;184.441500;202.375100;1938.757000;1844.415000;2023.751000;5.469822
300000;1000000;10;5589.976000;558.997600;192.744700;178.372600;187.880300;1927.447000;1783.726000;1878.803000;5.477121
305000;1000000;10;6555.176000;655.517600;223.138000;203.701700;228.677900;2231.380000;2037.017000;2286.779000;5.484300
310000;1000000;10;5822.298000;582.229800;200.896300;185.096800;196.236700;2008.963000;1850.968000;1962.367000;5.491362
315000;1000000;10;5921.432000;592.143200;203.774600;185.058100;203.310500;2037.746000;1850.581000;2033.105000;5.498311
320000;1000000;10;5509.787000;550.978700;187.671700;175.502300;187.804700;1876.717000;1755.023000;1878.047000;5.505150
325000;1000000;10;5320.620000;532.062000;181.393200;172.100000;178.568800;1813.932000;1721.000000;1785.688000;5.511883
330000;1000000;10;5464.501000;546.450100;184.360100;172.793600;189.296400;1843.601000;1727.936000;1892.964000;5.518514
335000;1000000;10;5621.803000;562.180300;188.606100;179.351200;194.223000;1886.061000;1793.512000;1942.230000;5.525045
340000;1000000;10;5730.736000;573.073600;196.828700;184.740200;191.504700;1968.287000;1847.402000;1915.047000;5.531479
345000;1000000;10;5934.935000;593.493500;205.047500;188.391200;200.054800;2050.475000;1883.912000;2000.548000;5.537819
