nodes;RANDOM_MAX;iterations;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Olog(n)
10000;1000000;10;50.468000;5.046800;2.369100;1.426300;1.251400;23.691000;14.263000;12.514000;4.000000
15000;1000000;10;62.314000;6.231400;2.820300;1.835200;1.575900;28.203000;18.352000;15.759000;4.176091
20000;1000000;10;91.874000;9.187400;4.412700;2.526100;2.248600;44.127000;25.261000;22.486000;4.301030
25000;1000000;10;106.348000;10.634800;4.929700;3.075100;2.630000;49.297000;30.751000;26.300000;4.397940
30000;1000000;10;121.429000;12.142900;5.799400;3.367400;2.976100;57.994000;33.674000;29.761000;4.477121
35000;1000000;10;140.459000;14.045900;6.478100;4.209900;3.357900;64.781000;42.099000;33.579000;4.544068
40000;1000000;10;164.572000;16.457200;7.865300;4.753500;3.838400;78.653000;47.535000;38.384000;4.602060
45000;1000000;10;181.010000;18.101000;8.666700;5.193800;4.240500;86.667000;51.938000;42.405000;4.653213
50000;1000000;10;199.907000;19.990700;9.617100;5.698700;4.674900;96.171000;56.987000;46.749000;4.698970
55000;1000000;10;246.891000;24.689100;11.727000;7.048300;5.913800;117.270000;70.483000;59.138000;4.740363
60000;1000000;10;248.930000;24.893000;11.877800;7.073100;5.942100;118.778000;70.731000;59.421000;4.778152
65000;1000000;10;298.658000;29.865800;13.922700;8.559100;7.384000;139.227000;85.591000;73.840000;4.812913
70000;1000000;10;298.033000;29.803300;14.074000;8.667700;7.061600;140.740000;86.677000;70.616000;4.845098
75000;1000000;10;329.178000;32.917800;15.513100;9.513800;7.890900;155.131000;95.138000;78.909000;4.875061
80000;1000000;10;348.127000;34.812700;16.496200;10.169000;8.147500;164.962000;101.690000;81.475000;4.903090
85000;1000000;10;371.897000;37.189700;17.847100;10.507100;8.835500;178.471000;105.071000;88.355000;4.929419
90000;1000000;10;395.992000;39.599200;18.984400;11.282700;9.332100;189.844000;112.827000;93.321000;4.954243
95000;1000000;10;413.238000;41.323800;19.735300;11.914800;9.673700;197.353000;119.148000;96.737000;4.977724
100000;1000000;10;453.157000;45.315700;21.179900;13.201100;10.934700;211.799000;132.011000;109.347000;5.000000
105000;1000000;10;478.702000;47.870200;22.616200;13.847800;11.406200;226.162000;138.478000;114.062000;5.021189
110000;1000000;10;504.618000;50.461800;23.891600;14.493600;12.076600;238.916000;144.936000;120.766000;5.041393
115000;1000000;10;572.118000;57.211800;26.863200;16.121800;14.226800;268.632000;161.218000;142.268000;5.060698
120000;1000000;10;546.514000;54.651400;25.755800;15.714200;13.181400;257.558000;157.142000;131.814000;5.079181
125000;1000000;10;584.314000;58.431400;27.379900;16.975600;14.075900;273.799000;169.756000;140.759000;5.096910
130000;1000000;10;599.949000;59.994900;28.098500;17.755500;14.140900;280.985000;177.555000;141.409000;5.113944
135000;1000000;10;617.499000;61.749900;28.900800;18.047200;14.801900;289.008000;180.472000;148.019000;5.130334
140000;1000000;10;642.262000;64.226200;30.038400;18.765800;15.422000;300.384000;187.658000;154.220000;5.146128
145000;1000000;10;666.614000;66.661400;31.223300;19.744100;15.694000;312.233000;197.441000;156.940000;5.161368
150000;1000000;10;690.182000;69.018200;32.241500;20.210300;16.566400;322.415000;202.103000;165.664000;5.176091
155000;1000000;10;741.039000;74.103900;34.320600;21.853600;17.929700;343.206000;218.536000;179.297000;5.190331
160000;1000000;10;743.588000;74.358800;34.874300;21.811300;17.673200;348.743000;218.113000;176.732000;5.204120
165000;1000000;10;776.199000;77.619900;36.011100;22.925800;18.683000;360.111000;229.258000;186.830000;5.217484
170000;1000000;10;799.256000;79.925600;37.180700;23.569800;19.175100;371.807000;235.698000;191.751000;5.230449
175000;1000000;10;859.645000;85.964500;40.430400;25.082800;20.451300;404.304000;250.828000;204.513000;5.243038
180000;1000000;10;864.191000;86.419100;40.266700;25.654200;20.498200;402.667000;256.542000;204.982000;5.255272
185000;1000000;10;921.180000;92.118000;43.249100;26.767700;22.101200;432.491000;267.677000;221.012000;5.267172
190000;1000000;10;921.961000;92.196100;42.850800;27.267700;22.077600;428.508000;272.677000;220.776000;5.278754
195000;1000000;10;926.380000;92.638000;43.032000;27.494200;22.111800;430.320000;274.942000;221.118000;5.290035
200000;1000000;10;1002.787000;100.278700;46.382900;29.235000;24.660800;463.829000;292.350000;246.608000;5.301030
205000;1000000;10;1002.396000;100.239600;46.130800;29.911500;24.197300;461.308000;299.115000;241.973000;5.311754
210000;1000000;10;1020.097000;102.009700;47.348400;29.962100;24.699200;473.484000;299.621000;246.992000;5.322219
215000;1000000;10;1058.301000;105.830100;49.229100;30.727800;25.873200;492.291000;307.278000;258.732000;5.332438
220000;1000000;10;1066.474000;106.647400;49.250600;31.459500;25.937300;492.506000;314.595000;259.373000;5.342422
225000;1000000;10;1117.218000;111.721800;51.615400;32.900100;27.206300;516.154000;329.001000;272.063000;5.352182
230000;1000000;10;1136.074000;113.607400;52.629400;33.348800;27.629200;526.294000;333.488000;276.292000;5.361728
235000;1000000;10;1153.628000;115.362800;53.495300;33.258700;28.608800;534.953000;332.587000;286.088000;5.371068
240000;1000000;10;1177.657000;117.765700;54.184100;34.609000;28.972600;541.841000;346.090000;289.726000;5.380211
245000;1000000;10;1208.172000;120.817200;55.892300;35.183500;29.741400;558.923000;351.835000;297.414000;5.389166
250000;1000000;10;1231.718000;123.171800;57.520400;35.013300;30.638100;575.204000;350.133000;306.381000;5.397940
255000;1000000;10;1246.721000;124.672100;57.622800;36.396800;30.652500;576.228000;363.968000;306.525000;5.406540
260000;1000000;10;1271.271000;127.127100;59.059800;36.961100;31.106200;590.598000;369.611000;311.062000;5.414973
265000;1000000;10;1333.953000;133.395300;60.632000;39.272100;33.491200;606.320000;392.721000;334.912000;5.423246
270000;1000000;10;1386.371000;138.637100;64.115500;40.836000;33.685600;641.155000;408.360000;336.856000;5.431364
275000;1000000;10;1383.653000;138.365300;63.438500;40.124300;34.802500;634.385000;401.243000;348.025000;5.439332
280000;1000000;10;1425.058000;142.505800;66.607400;41.376700;34.521700;666.074000;413.767000;345.217000;5.447158
285000;1000000;10;1429.812000;142.981200;66.008200;41.666100;35.306900;660.082000;416.661000;353.069000;5.454845
290000;1000000;10;1474.919000;147.491900;68.120800;43.408800;35.962300;681.208000;434.088000;359.623000;5.462398
295000;1000000;10;1509.627000;150.962700;68.690700;44.908700;37.363300;686.907000;449.087000;373.633000;5.469822
300000;1000000;10;1529.814000;152.981400;70.908500;44.652400;37.420500;709.085000;446.524000;374.205000;5.477121
305000;1000000;10;1559.531000;155.953100;72.201500;45.728700;38.022900;722.015000;457.287000;380.229000;5.484300
310000;1000000;10;1554.748000;155.474800;72.161400;45.190800;38.122600;721.614000;451.908000;381.226000;5.491362
315000;1000000;10;1604.392000;160.439200;74.038600;46.492800;39.907800;740.386000;464.928000;399.078000;5.498311
320000;1000000;10;1620.233000;162.023300;74.653100;47.660500;39.709700;746.531000;476.605000;397.097000;5.505150
325000;1000000;10;1652.100000;165.210000;75.979700;48.572800;40.657500;759.797000;485.728000;406.575000;5.511883
330000;1000000;10;1685.171000;168.517100;78.832300;48.064100;41.620700;788.323000;480.641000;416.207000;5.518514
335000;1000000;10;1689.857000;168.985700;78.668100;48.682800;41.634800;786.681000;486.828000;416.348000;5.525045
340000;1000000;10;1725.533000;172.553300;80.230500;49.492400;42.830400;802.305000;494.924000;428.304000;5.531479
345000;1000000;10;1730.451000;173.045100;80.895200;49.304800;42.845100;808.952000;493.048000;428.451000;5.537819
350000;1000000;10;1796.579000;179.657900;82.935400;51.836700;44.885800;829.354000;518.367000;448.858000;5.544068
355000;1000000;10;1828.548000;182.854800;85.181500;52.550600;45.122700;851.815000;525.506000;451.227000;5.550228
360000;1000000;10;1842.697000;184.269700;85.379100;53.066500;45.824100;853.791000;530.665000;458.241000;5.556303
365000;1000000;10;1873.960000;187.396000;86.523700;52.657500;48.214800;865.237000;526.575000;482.148000;5.562293
370000;1000000;10;1890.443000;189.044300;86.823400;54.164500;48.056400;868.234000;541.645000;480.564000;5.568202
375000;1000000;10;1925.033000;192.503300;88.835400;55.278500;48.389400;888.354000;552.785000;483.894000;5.574031
380000;1000000;10;1991.755000;199.175500;91.696700;57.557000;49.921800;916.967000;575.570000;499.218000;5.579783
385000;1000000;10;1964.684000;196.468400;90.598500;56.702300;49.167600;905.985000;567.023000;491.676000;5.585461
390000;1000000;10;2037.994000;203.799400;94.445700;58.866600;50.487100;944.457000;588.666000;504.871000;5.591064
395000;1000000;10;2110.950000;211.095000;96.447000;60.620000;54.028000;964.470000;606.200000;540.280000;5.596597
400000;1000000;10;2145.908000;214.590800;98.560700;61.942400;54.087700;985.607000;619.424000;540.877000;5.602060
405000;1000000;10;2116.673000;211.667300;97.091700;60.984000;53.591600;970.917000;609.840000;535.916000;5.607455
410000;1000000;10;2202.207000;220.220700;102.338800;62.473400;55.408500;1023.388000;624.734000;554.085000;5.612784
415000;1000000;10;2270.135000;227.013500;104.613900;65.367700;57.031900;1046.139000;653.677000;570.319000;5.618048
420000;1000000;10;2228.459000;222.845900;101.546100;64.631700;56.668100;1015.461000;646.317000;566.681000;5.623250
425000;1000000;10;2279.149000;227.914900;104.522300;66.867800;56.524800;1045.223000;668.678000;565.248000;5.628389
430000;1000000;10;2307.890000;230.789000;105.447900;66.958400;58.382700;1054.479000;669.584000;583.827000;5.633469
435000;1000000;10;2324.186000;232.418600;106.800100;67.351000;58.267500;1068.001000;673.510000;582.675000;5.638489
440000;1000000;10;2361.195000;236.119500;107.857800;68.798500;59.463200;1078.578000;687.985000;594.632000;5.643453
445000;1000000;10;2410.125000;241.012500;110.010100;70.775900;60.226500;1100.101000;707.759000;602.265000;5.648360
450000;1000000;10;2408.141000;240.814100;110.551400;70.577400;59.685300;1105.514000;705.774000;596.853000;5.653213
455000;1000000;10;2475.616000;247.561600;113.836100;72.273600;61.451900;1138.361000;722.736000;614.519000;5.658011
460000;1000000;10;2411.684000;241.168400;109.240900;69.483400;62.444100;1092.409000;694.834000;624.441000;5.662758
465000;1000000;10;2431.500000;243.150000;110.868700;70.098800;62.182500;1108.687000;700.988000;621.825000;5.667453
