n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
1000;10000;1;0.377000;0.377000;0.146000;0.138000;0.093000;0.146000;0.138000;0.093000;3.000000
2000;10000;1;0.875000;0.875000;0.344000;0.291000;0.240000;0.344000;0.291000;0.240000;3.301030
3000;10000;1;1.338000;1.338000;0.455000;0.494000;0.389000;0.455000;0.494000;0.389000;3.477121
4000;10000;1;1.659000;1.659000;0.617000;0.557000;0.485000;0.617000;0.557000;0.485000;3.602060
5000;10000;1;2.223000;2.223000;0.769000;0.753000;0.701000;0.769000;0.753000;0.701000;3.698970
6000;10000;1;2.611000;2.611000;0.970000;0.926000;0.715000;0.970000;0.926000;0.715000;3.778151
7000;10000;1;2.986000;2.986000;0.971000;1.120000;0.895000;0.971000;1.120000;0.895000;3.845098
8000;10000;1;3.593000;3.593000;1.213000;1.243000;1.137000;1.213000;1.243000;1.137000;3.903090
9000;10000;1;4.146000;4.146000;1.518000;1.383000;1.245000;1.518000;1.383000;1.245000;3.954242
10000;10000;1;4.041000;4.041000;1.420000;1.321000;1.300000;1.420000;1.321000;1.300000;4.000000
11000;10000;1;5.109000;5.109000;1.712000;1.850000;1.547000;1.712000;1.850000;1.547000;4.041393
12000;10000;1;5.865000;5.865000;2.139000;2.038000;1.688000;2.139000;2.038000;1.688000;4.079181
13000;10000;1;6.676000;6.676000;2.221000;2.612000;1.843000;2.221000;2.612000;1.843000;4.113944
14000;10000;1;7.729000;7.729000;2.537000;2.751000;2.441000;2.537000;2.751000;2.441000;4.146128
15000;10000;1;8.463000;8.463000;3.065000;3.029000;2.369000;3.065000;3.029000;2.369000;4.176091
16000;10000;1;7.422000;7.422000;2.542000;2.465000;2.415000;2.542000;2.465000;2.415000;4.204120
17000;10000;1;8.255000;8.255000;2.774000;2.855000;2.626000;2.774000;2.855000;2.626000;4.230449
18000;10000;1;7.900000;7.900000;2.903000;2.662000;2.335000;2.903000;2.662000;2.335000;4.255272
